,gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
18993,Male,Disloyal Customer,36,Business travel,337,2,3,3,4,4,4,4,0,0,Neutral
18995,Female,Disloyal Customer,22,Business travel,337,5,4,5,2,2,4,2,1,13,Satisfied
18998,Female,Loyal Customer,60,Business travel,337,3,3,3,4,3,3,4,0,0,Dissatisfied
18999,Female,Loyal Customer,42,Business travel,337,1,1,3,3,4,4,3,52,46,Satisfied
19002,Male,Loyal Customer,46,Business travel,337,1,2,3,4,4,4,4,0,0,Neutral
19003,Female,Disloyal Customer,21,Business travel,337,5,0,4,4,4,5,4,37,32,Satisfied
19006,Male,Disloyal Customer,36,Business travel,337,3,3,3,5,5,4,5,0,0,Dissatisfied
19008,Male,Loyal Customer,56,Business travel,337,3,4,3,4,4,4,4,0,0,Neutral
19010,Male,Loyal Customer,34,Personal Travel,337,2,5,2,3,5,5,4,0,0,Dissatisfied
19012,Male,Loyal Customer,55,Business travel,337,1,1,1,3,4,4,5,0,0,Satisfied
19013,Female,Disloyal Customer,37,Business travel,337,1,1,1,2,2,5,2,0,0,Dissatisfied
19015,Female,Loyal Customer,38,Business travel,337,2,2,2,4,4,4,5,0,0,Satisfied
19016,Female,Loyal Customer,69,Personal Travel,337,2,5,2,2,2,2,5,0,17,Dissatisfied
19021,Female,Loyal Customer,42,Business travel,337,5,5,3,5,4,4,5,36,38,Satisfied
19023,Male,Loyal Customer,15,Business travel,337,5,5,5,5,5,3,5,0,0,Satisfied
19029,Male,Loyal Customer,44,Business travel,337,4,3,4,5,5,5,4,0,0,Satisfied
19030,Male,Disloyal Customer,26,Business travel,337,5,0,3,4,4,4,4,0,0,Neutral
19031,Female,Disloyal Customer,36,Business travel,337,3,3,3,5,5,4,5,0,0,Dissatisfied
19033,Male,Loyal Customer,52,Business travel,337,0,0,0,3,2,3,4,7,1,Satisfied
19036,Female,Loyal Customer,54,Business travel,337,4,4,4,4,5,4,4,119,133,Satisfied
19039,Female,Loyal Customer,16,Business travel,337,3,3,3,4,4,2,4,2,0,Satisfied
19041,Male,Loyal Customer,48,Business travel,337,1,5,1,3,5,5,4,1,0,Satisfied
19042,Female,Loyal Customer,40,Business travel,337,4,4,4,5,5,5,4,37,17,Satisfied
19044,Male,Disloyal Customer,21,Business travel,337,5,0,4,3,3,4,3,0,0,Satisfied
19046,Male,Loyal Customer,58,Business travel,337,2,2,2,5,5,5,3,0,28,Satisfied
19047,Female,Disloyal Customer,35,Business travel,337,2,1,1,2,2,4,2,61,53,Dissatisfied
19049,Male,Loyal Customer,39,Business travel,337,1,4,4,3,1,1,4,36,19,Dissatisfied
19051,Female,Disloyal Customer,26,Business travel,337,0,5,0,5,5,5,5,16,14,Satisfied
19054,Female,Loyal Customer,63,Business travel,337,1,1,1,3,4,4,5,0,16,Satisfied
19055,Female,Loyal Customer,60,Business travel,337,4,4,2,2,4,4,5,0,0,Satisfied
19057,Male,Loyal Customer,48,Business travel,337,1,1,2,5,5,5,3,0,0,Satisfied
19060,Female,Loyal Customer,60,Business travel,337,3,3,3,2,5,5,5,10,4,Satisfied
19061,Male,Loyal Customer,48,Business travel,337,2,2,2,3,4,4,5,2,2,Satisfied
19063,Male,Loyal Customer,44,Business travel,337,3,3,3,2,4,4,5,8,0,Satisfied
19067,Male,Disloyal Customer,38,Business travel,337,5,5,3,4,4,4,4,0,0,Neutral
19068,Female,Loyal Customer,47,Business travel,337,4,2,2,2,4,4,4,0,0,Dissatisfied
19069,Male,Loyal Customer,50,Business travel,337,4,4,4,3,5,5,4,3,8,Satisfied
19070,Female,Loyal Customer,51,Business travel,337,0,0,0,3,4,5,3,0,0,Satisfied
19071,Female,Loyal Customer,37,Business travel,337,4,2,2,5,4,4,4,30,21,Dissatisfied
19081,Male,Loyal Customer,60,Business travel,337,3,3,3,4,5,5,3,0,0,Satisfied
19084,Male,Loyal Customer,48,Business travel,337,3,3,3,2,4,4,5,0,0,Satisfied
19090,Female,Loyal Customer,48,Business travel,337,2,2,2,3,4,4,2,0,0,Satisfied
19091,Male,Loyal Customer,70,Personal Travel,337,2,4,2,5,1,3,4,34,21,Dissatisfied
19092,Male,Loyal Customer,42,Business travel,337,5,5,5,2,5,5,3,0,0,Satisfied
19093,Male,Disloyal Customer,21,Business travel,337,4,4,4,5,5,4,5,46,43,Satisfied
19102,Male,Loyal Customer,50,Business travel,337,0,0,0,4,3,3,5,4,0,Satisfied
19106,Male,Loyal Customer,40,Business travel,337,3,3,3,2,4,4,5,0,0,Satisfied
19107,Male,Loyal Customer,65,Business travel,337,3,1,1,4,3,3,3,0,0,Dissatisfied
19110,Male,Loyal Customer,52,Business travel,337,4,4,4,4,4,4,4,2,0,Satisfied
19111,Male,Disloyal Customer,27,Business travel,337,3,4,4,4,4,5,4,0,2,Dissatisfied
19115,Male,Disloyal Customer,26,Business travel,337,4,0,4,4,4,4,4,0,0,Satisfied
19120,Female,Disloyal Customer,33,Business travel,337,2,2,3,4,4,4,4,0,0,Neutral
19121,Male,Loyal Customer,59,Business travel,337,3,2,2,2,3,3,4,20,14,Dissatisfied
19122,Male,Disloyal Customer,44,Business travel,337,3,3,3,2,2,3,2,0,0,Dissatisfied
19123,Male,Loyal Customer,47,Business travel,337,0,0,0,3,3,3,4,0,0,Satisfied
19132,Female,Loyal Customer,43,Business travel,337,1,1,1,1,5,5,5,0,0,Satisfied
19136,Male,Loyal Customer,58,Business travel,337,3,3,2,2,5,5,3,0,0,Satisfied
19143,Male,Disloyal Customer,32,Business travel,337,2,2,2,2,2,4,2,8,5,Dissatisfied
19144,Female,Loyal Customer,43,Business travel,337,2,2,4,4,5,5,4,0,0,Satisfied
19145,Male,Loyal Customer,57,Business travel,337,4,2,2,5,4,4,3,42,44,Dissatisfied
19147,Male,Loyal Customer,48,Business travel,337,2,2,2,5,4,4,4,0,0,Satisfied
19148,Male,Disloyal Customer,37,Business travel,337,4,4,4,5,5,4,5,0,0,Satisfied
19151,Male,Loyal Customer,53,Business travel,337,1,1,1,4,5,5,3,19,9,Satisfied
19152,Male,Loyal Customer,35,Business travel,337,2,3,3,2,2,2,3,0,0,Dissatisfied
19153,Female,Loyal Customer,32,Business travel,337,3,3,3,4,4,5,4,0,0,Satisfied
19154,Female,Loyal Customer,47,Business travel,337,0,0,0,5,2,2,5,7,6,Satisfied
19159,Male,Loyal Customer,35,Business travel,337,4,4,5,3,4,4,3,67,63,Satisfied
19160,Male,Disloyal Customer,30,Business travel,,1,1,3,4,2,5,2,10,0,Dissatisfied
19163,Female,Loyal Customer,45,Business travel,337,1,1,1,2,4,4,3,11,0,Satisfied
19164,Female,Disloyal Customer,22,Business travel,337,4,4,4,4,3,4,4,201,200,Satisfied
19170,Female,Disloyal Customer,37,Business travel,337,3,4,4,3,3,5,3,0,0,Dissatisfied
19171,Male,Loyal Customer,51,Business travel,337,1,1,1,2,4,4,3,0,0,Satisfied
19176,Female,Loyal Customer,44,Business travel,337,3,2,2,2,3,3,2,25,22,Dissatisfied
19177,Female,Loyal Customer,58,Business travel,337,2,4,3,4,4,4,4,0,0,Neutral
19178,Male,Loyal Customer,66,Personal Travel,337,3,4,4,4,3,3,3,42,32,Dissatisfied
19185,Male,Disloyal Customer,32,Business travel,337,3,2,2,5,5,4,5,12,2,Dissatisfied
19186,Female,Disloyal Customer,25,Business travel,337,1,0,3,4,4,4,4,0,0,Satisfied
19188,Male,Loyal Customer,42,Business travel,337,2,4,2,5,5,5,4,47,18,Satisfied
19199,Male,Loyal Customer,39,Business travel,337,2,4,3,4,4,4,4,0,0,Neutral
19202,Male,Loyal Customer,58,Business travel,337,0,0,0,2,2,2,3,48,45,Satisfied
19208,Male,Loyal Customer,56,Business travel,337,0,0,0,2,2,2,3,0,0,Satisfied
19211,Male,Loyal Customer,57,Business travel,337,3,2,4,3,3,3,2,4,4,Dissatisfied
19222,Female,Loyal Customer,59,Business travel,337,4,4,4,3,4,4,4,0,0,Satisfied
19223,Male,Loyal Customer,39,Business travel,337,1,1,4,4,4,4,4,3,8,Satisfied
19226,Male,Loyal Customer,54,Business travel,337,0,0,0,2,1,1,3,24,29,Satisfied
19227,Female,Disloyal Customer,21,Business travel,337,2,3,1,4,4,3,4,15,31,Dissatisfied
19230,Female,Disloyal Customer,62,Business travel,337,2,1,1,3,3,4,3,0,0,Satisfied
19232,Female,Loyal Customer,51,Business travel,337,1,1,1,2,5,5,5,0,0,Satisfied
19237,Male,Loyal Customer,39,Business travel,337,3,3,3,5,3,3,3,0,0,Satisfied
19239,Male,Disloyal Customer,37,Business travel,337,5,5,5,2,2,4,2,0,0,Satisfied
19254,Female,Loyal Customer,56,Business travel,337,2,2,2,2,5,5,5,2,0,Satisfied
19257,Female,Disloyal Customer,44,Business travel,337,2,1,1,3,3,5,3,0,0,Dissatisfied
19262,Female,Loyal Customer,36,Business travel,337,5,5,5,5,4,4,4,16,23,Satisfied
19263,Female,Loyal Customer,63,Business travel,337,2,2,2,2,4,4,4,0,0,Satisfied
19265,Female,Loyal Customer,56,Business travel,337,2,2,2,4,4,4,5,0,2,Satisfied
19269,Female,Disloyal Customer,44,Business travel,337,3,3,3,4,4,4,4,0,0,Neutral
19271,Male,Loyal Customer,50,Business travel,337,0,0,0,4,4,4,4,0,0,Satisfied
19275,Female,Loyal Customer,35,Business travel,337,4,4,3,5,4,4,4,14,0,Satisfied
19276,Male,Disloyal Customer,44,Business travel,337,4,4,3,4,4,4,4,0,0,Neutral
19282,Male,Loyal Customer,59,Business travel,337,0,0,0,4,1,1,3,0,0,Satisfied
19284,Male,Loyal Customer,32,Personal Travel,337,1,2,1,3,3,4,3,0,0,Dissatisfied
19285,Male,Disloyal Customer,38,Business travel,337,5,5,5,5,5,4,5,18,5,Satisfied
19286,Female,Loyal Customer,40,Business travel,337,3,3,3,2,4,4,3,0,0,Satisfied
19295,Female,Loyal Customer,61,Business travel,337,1,1,1,2,5,5,5,0,0,Satisfied
19297,Female,Disloyal Customer,24,Business travel,337,4,5,3,4,4,4,4,0,0,Neutral
19299,Female,Loyal Customer,57,Business travel,337,3,5,3,5,3,3,4,24,21,Satisfied
19304,Male,Loyal Customer,40,Business travel,337,5,5,5,3,4,4,3,12,0,Satisfied
19308,Male,Disloyal Customer,33,Business travel,337,3,3,3,2,2,4,2,0,0,Dissatisfied
19309,Female,Loyal Customer,46,Business travel,337,4,4,4,2,5,5,3,0,0,Satisfied
19315,Female,Loyal Customer,42,Business travel,337,2,2,2,2,5,5,4,58,57,Satisfied
19316,Female,Loyal Customer,58,Business travel,337,1,1,1,2,5,5,5,0,0,Satisfied
19319,Female,Loyal Customer,53,Business travel,337,1,1,4,4,4,4,3,0,9,Satisfied
19321,Female,Disloyal Customer,33,Business travel,337,3,3,3,4,4,4,4,0,0,Neutral
19322,Female,Loyal Customer,52,Business travel,337,3,2,2,4,3,3,4,0,0,Dissatisfied
19326,Female,Loyal Customer,54,Personal Travel,337,2,4,3,4,4,4,4,0,0,Neutral
19329,Female,Loyal Customer,41,Business travel,337,4,4,4,5,4,4,4,71,43,Satisfied
19330,Female,Loyal Customer,25,Business travel,337,2,2,2,2,2,4,2,0,0,Satisfied
19331,Female,Loyal Customer,25,Business travel,337,2,5,1,2,2,4,2,0,0,Satisfied
19337,Female,Loyal Customer,44,Business travel,337,3,3,3,5,5,5,3,0,0,Satisfied
19341,Female,Loyal Customer,49,Business travel,337,2,2,2,5,4,4,3,15,14,Satisfied
19345,Female,Loyal Customer,45,Business travel,337,5,5,5,2,4,4,5,0,0,Satisfied
19347,Female,Loyal Customer,51,Business travel,337,2,2,2,4,4,4,4,0,0,Satisfied
19351,Female,Loyal Customer,46,Business travel,337,2,2,5,5,5,5,5,1,0,Satisfied
19353,Male,Loyal Customer,47,Business travel,337,2,5,5,1,2,2,3,29,21,Dissatisfied
19355,Male,Loyal Customer,41,Business travel,337,1,1,1,3,5,5,3,10,7,Satisfied
19359,Male,Disloyal Customer,61,Business travel,337,2,2,2,5,5,4,5,119,109,Satisfied
19360,Male,Loyal Customer,36,Business travel,337,0,0,0,5,5,5,3,13,0,Satisfied
19362,Female,Disloyal Customer,35,Business travel,337,3,4,3,4,4,4,4,0,0,Neutral
19363,Female,Loyal Customer,49,Business travel,337,4,1,4,3,5,5,4,10,2,Satisfied
19364,Male,Disloyal Customer,26,Business travel,337,2,0,2,3,3,4,3,29,23,Dissatisfied
19371,Male,Loyal Customer,42,Business travel,337,0,0,0,3,4,4,3,0,0,Satisfied
19373,Male,Loyal Customer,48,Business travel,337,3,3,3,2,3,3,4,23,18,Satisfied
19375,Female,Loyal Customer,51,Business travel,337,1,1,1,5,4,4,5,0,0,Satisfied
19379,Female,Loyal Customer,56,Business travel,337,3,3,3,5,4,4,3,0,0,Satisfied
19386,Female,Loyal Customer,46,Business travel,337,5,5,5,4,4,4,5,0,2,Satisfied
19397,Male,Disloyal Customer,0,Personal Travel,337,0,4,0,5,5,4,5,0,0,Neutral
19399,Female,Loyal Customer,46,Business travel,337,2,2,2,4,5,5,4,0,0,Satisfied
19400,Female,Loyal Customer,63,Business travel,337,0,0,0,3,2,2,2,11,3,Satisfied
19401,Male,Loyal Customer,33,Business travel,337,1,1,1,4,4,5,4,0,0,Satisfied
19411,Female,Loyal Customer,40,Business travel,337,0,0,0,5,2,2,5,0,0,Satisfied
19412,Female,Disloyal Customer,42,Business travel,337,5,5,5,5,5,5,5,0,12,Satisfied
19415,Male,Disloyal Customer,34,Business travel,337,2,2,2,4,4,5,4,0,0,Dissatisfied
19418,Female,Loyal Customer,51,Business travel,337,2,2,2,5,5,5,5,0,0,Satisfied
19419,Female,Loyal Customer,56,Business travel,337,4,4,4,3,4,4,4,6,3,Satisfied
19423,Female,Loyal Customer,27,Personal Travel,337,3,5,2,3,3,4,3,0,0,Dissatisfied
19429,Male,Loyal Customer,60,Business travel,337,2,2,2,2,4,4,3,3,0,Satisfied
19431,Male,Disloyal Customer,58,Business travel,337,5,4,4,5,5,5,5,0,1,Satisfied
19433,Male,Loyal Customer,36,Business travel,337,0,1,1,2,2,2,3,0,3,Satisfied
19440,Male,Loyal Customer,56,Business travel,337,2,2,2,3,3,3,3,0,0,Satisfied
19447,Male,Loyal Customer,38,Personal Travel,337,4,3,4,2,5,4,3,4,0,Dissatisfied
19449,Male,Loyal Customer,68,Personal Travel,337,1,4,3,4,2,2,3,0,0,Dissatisfied
19452,Male,Loyal Customer,61,Business travel,337,5,5,5,3,4,4,4,31,33,Satisfied
19456,Female,Loyal Customer,50,Business travel,337,3,3,3,4,4,4,4,0,0,Neutral
19457,Female,Disloyal Customer,38,Business travel,337,2,2,3,4,4,4,4,0,0,Neutral
19459,Male,Loyal Customer,45,Business travel,337,4,3,4,5,4,4,4,33,17,Satisfied
19463,Male,Disloyal Customer,38,Business travel,337,2,2,3,4,4,4,4,0,0,Neutral
19471,Female,Loyal Customer,40,Business travel,337,5,5,5,4,5,5,4,13,6,Satisfied
19472,Female,Disloyal Customer,37,Business travel,337,3,3,3,2,2,4,2,0,0,Dissatisfied
19475,Female,Loyal Customer,46,Business travel,337,3,3,3,5,5,5,4,0,0,Satisfied
19479,Female,Disloyal Customer,25,Business travel,337,2,0,2,3,3,5,3,0,0,Satisfied
19481,Female,Loyal Customer,59,Business travel,337,0,0,0,5,5,4,5,0,0,Satisfied
19482,Male,Loyal Customer,43,Business travel,337,1,1,1,4,1,1,4,0,0,Dissatisfied
19483,Male,Loyal Customer,69,Business travel,337,1,1,1,2,5,5,5,43,34,Satisfied
19485,Male,Disloyal Customer,36,Business travel,337,1,1,1,1,5,5,5,170,159,Dissatisfied
19490,Male,Disloyal Customer,21,Business travel,337,5,0,4,3,3,5,3,0,0,Satisfied
19491,Female,Loyal Customer,37,Business travel,337,2,2,2,3,4,4,5,0,0,Satisfied
19493,Female,Loyal Customer,36,Business travel,337,0,1,1,2,3,3,5,0,0,Satisfied
19494,Female,Disloyal Customer,25,Business travel,337,2,4,2,2,2,4,2,0,0,Satisfied
19498,Male,Loyal Customer,52,Business travel,337,5,5,5,2,4,4,4,8,14,Satisfied
19502,Male,Loyal Customer,47,Business travel,337,3,3,3,5,3,3,3,32,21,Dissatisfied
19504,Male,Disloyal Customer,30,Business travel,,2,2,3,4,5,3,5,10,0,Dissatisfied
19513,Female,Disloyal Customer,37,Business travel,337,3,3,3,2,2,4,2,0,28,Dissatisfied
19518,Female,Disloyal Customer,27,Business travel,337,2,2,3,4,4,4,4,0,0,Neutral
19521,Female,Loyal Customer,45,Business travel,337,4,1,1,5,4,4,2,0,22,Dissatisfied
19525,Female,Loyal Customer,55,Business travel,337,0,0,0,5,5,5,4,15,41,Satisfied
19530,Male,Loyal Customer,55,Business travel,337,3,3,3,5,3,3,4,3,5,Satisfied
19534,Female,Loyal Customer,60,Business travel,337,2,2,3,4,4,4,4,0,0,Neutral
19536,Female,Disloyal Customer,44,Business travel,337,5,5,3,4,4,4,4,0,0,Neutral
19541,Female,Disloyal Customer,25,Business travel,337,2,4,3,4,4,4,4,0,0,Satisfied
19545,Female,Loyal Customer,56,Business travel,337,0,1,1,5,3,3,4,0,0,Satisfied
19554,Male,Loyal Customer,68,Business travel,337,2,2,3,4,4,4,4,0,0,Neutral
19555,Male,Loyal Customer,50,Business travel,337,2,2,2,4,5,5,3,0,0,Satisfied
19557,Female,Loyal Customer,59,Business travel,337,2,2,1,5,5,5,4,0,0,Satisfied
19558,Male,Disloyal Customer,26,Business travel,337,1,0,1,5,5,5,5,66,49,Dissatisfied
19559,Female,Disloyal Customer,38,Business travel,337,5,5,5,3,3,5,3,4,1,Satisfied
19566,Male,Disloyal Customer,33,Business travel,338,2,2,3,4,4,4,4,0,0,Neutral
19567,Male,Disloyal Customer,35,Business travel,338,2,2,2,4,4,5,4,0,0,Dissatisfied
19569,Male,Disloyal Customer,39,Business travel,338,4,4,4,4,4,4,4,0,0,Dissatisfied
19570,Female,Loyal Customer,49,Business travel,338,2,1,2,5,4,4,4,0,0,Satisfied
19571,Male,Disloyal Customer,36,Business travel,338,3,3,3,3,3,4,3,1,0,Dissatisfied
19576,Female,Disloyal Customer,39,Business travel,338,3,3,3,5,5,4,5,25,29,Dissatisfied
19578,Female,Disloyal Customer,26,Business travel,338,1,5,1,2,2,5,2,18,3,Dissatisfied
19585,Male,Loyal Customer,58,Business travel,338,5,4,5,4,5,5,5,8,3,Satisfied
19587,Female,Loyal Customer,25,Business travel,338,4,4,4,5,5,5,5,0,0,Satisfied
19588,Male,Loyal Customer,51,Business travel,338,2,2,2,1,2,2,3,43,38,Dissatisfied
19593,Female,Disloyal Customer,25,Business travel,338,1,0,1,3,3,5,3,0,0,Satisfied
19594,Male,Disloyal Customer,64,Business travel,338,5,5,5,2,2,5,2,0,0,Satisfied
19597,Male,Loyal Customer,63,Business travel,338,4,4,2,5,5,5,3,0,20,Satisfied
19600,Female,Disloyal Customer,25,Business travel,338,4,0,4,4,4,5,4,0,0,Satisfied
19601,Female,Disloyal Customer,27,Business travel,338,3,3,3,2,2,5,2,10,0,Dissatisfied
19605,Female,Loyal Customer,45,Business travel,338,5,5,5,3,5,5,3,7,0,Satisfied
19607,Female,Loyal Customer,38,Business travel,338,0,0,0,3,4,4,3,0,0,Satisfied
19609,Male,Loyal Customer,46,Business travel,338,2,5,2,3,3,3,3,0,0,Satisfied
19610,Male,Loyal Customer,22,Business travel,338,4,4,4,4,4,3,4,3,3,Dissatisfied
19613,Female,Loyal Customer,33,Business travel,338,3,3,3,2,4,4,4,0,0,Satisfied
19617,Female,Disloyal Customer,39,Business travel,338,5,4,4,4,4,5,4,7,1,Satisfied
19620,Female,Loyal Customer,36,Business travel,338,5,2,5,3,4,4,3,39,47,Satisfied
19621,Female,Loyal Customer,39,Business travel,338,3,4,4,1,3,3,4,11,15,Dissatisfied
19625,Male,Disloyal Customer,61,Business travel,338,4,4,4,5,5,4,5,0,0,Dissatisfied
19626,Male,Loyal Customer,40,Business travel,338,4,4,4,3,4,4,4,0,0,Satisfied
19633,Male,Loyal Customer,60,Business travel,338,5,5,5,3,5,5,4,24,16,Satisfied
19634,Male,Loyal Customer,37,Business travel,338,0,0,0,2,1,1,4,10,6,Satisfied
19636,Male,Disloyal Customer,43,Business travel,338,3,3,3,3,3,4,3,0,0,Satisfied
19638,Female,Loyal Customer,69,Business travel,338,2,3,3,4,2,2,3,0,14,Dissatisfied
19639,Female,Loyal Customer,48,Personal Travel,338,2,2,0,2,4,5,3,14,11,Dissatisfied
19641,Female,Loyal Customer,46,Business travel,338,2,4,2,3,2,2,3,0,0,Dissatisfied
19642,Male,Disloyal Customer,26,Business travel,338,4,4,3,3,3,5,3,4,0,Satisfied
19643,Male,Loyal Customer,42,Personal Travel,338,2,4,2,2,2,2,2,0,0,Dissatisfied
19644,Male,Loyal Customer,38,Personal Travel,338,1,4,1,2,1,1,3,0,0,Dissatisfied
19645,Female,Loyal Customer,79,Business travel,338,4,4,4,3,4,4,4,0,0,Dissatisfied
19646,Female,Disloyal Customer,34,Business travel,338,1,1,1,3,3,4,3,0,0,Dissatisfied
19647,Male,Disloyal Customer,44,Business travel,338,3,3,3,5,5,4,5,1,0,Dissatisfied
19648,Female,Disloyal Customer,22,Business travel,338,4,5,3,4,4,4,4,0,0,Neutral
19658,Male,Disloyal Customer,62,Business travel,338,1,1,1,2,2,5,2,8,0,Dissatisfied
19660,Male,Loyal Customer,61,Business travel,338,2,3,3,4,4,4,4,0,0,Neutral
19661,Female,Loyal Customer,33,Business travel,338,0,0,0,5,2,2,3,41,55,Satisfied
19662,Female,Loyal Customer,51,Business travel,338,0,0,0,3,5,5,4,1,0,Satisfied
19665,Female,Loyal Customer,42,Business travel,338,5,5,5,4,4,4,4,4,0,Satisfied
19666,Female,Loyal Customer,52,Business travel,338,0,0,0,2,5,5,3,12,23,Satisfied
19668,Male,Loyal Customer,59,Business travel,338,4,4,4,5,5,5,4,4,0,Satisfied
19670,Male,Loyal Customer,33,Business travel,338,1,2,3,4,4,4,4,0,0,Neutral
19671,Male,Loyal Customer,36,Business travel,338,3,5,5,2,3,3,3,0,0,Dissatisfied
19672,Male,Loyal Customer,40,Business travel,338,1,1,1,3,5,5,3,17,0,Satisfied
19675,Female,Disloyal Customer,40,Business travel,338,1,1,1,5,5,2,5,0,0,Dissatisfied
19678,Male,Loyal Customer,46,Business travel,338,5,5,5,3,4,4,5,0,0,Satisfied
19680,Female,Loyal Customer,60,Business travel,338,2,5,5,1,2,2,2,0,0,Dissatisfied
19684,Male,Loyal Customer,50,Business travel,338,0,0,0,3,4,4,3,0,0,Satisfied
19685,Male,Disloyal Customer,37,Business travel,338,3,3,3,5,5,5,5,5,0,Dissatisfied
19686,Male,Loyal Customer,37,Personal Travel,338,4,4,4,5,2,2,5,0,0,Satisfied
19692,Male,Loyal Customer,36,Business travel,338,0,0,0,3,3,3,2,0,3,Satisfied
19697,Male,Loyal Customer,62,Business travel,338,1,1,1,1,1,1,2,37,19,Dissatisfied
19701,Male,Loyal Customer,65,Business travel,340,3,3,3,2,4,4,3,0,0,Satisfied
19702,Female,Loyal Customer,51,Business travel,340,4,4,4,4,5,5,3,0,0,Satisfied
19703,Female,Loyal Customer,57,Business travel,340,3,3,3,3,3,3,4,0,0,Satisfied
19704,Male,Loyal Customer,46,Business travel,340,0,0,0,1,3,2,5,0,43,Satisfied
19710,Male,Loyal Customer,30,Business travel,,4,4,3,4,4,5,4,10,0,Satisfied
19715,Female,Loyal Customer,52,Business travel,341,0,0,0,4,2,2,5,0,0,Satisfied
19719,Female,Disloyal Customer,32,Business travel,341,3,4,4,5,5,4,5,0,0,Dissatisfied
19720,Male,Disloyal Customer,26,Business travel,341,4,0,4,4,4,5,4,23,20,Satisfied
19725,Female,Loyal Customer,67,Personal Travel,341,2,5,2,2,3,3,4,0,0,Dissatisfied
19727,Female,Loyal Customer,45,Personal Travel,341,3,2,3,4,4,4,4,0,0,Neutral
19733,Female,Loyal Customer,11,Personal Travel,341,2,3,2,2,2,4,2,3,3,Dissatisfied
19734,Female,Loyal Customer,56,Business travel,341,2,2,2,5,4,4,3,7,15,Satisfied
19735,Male,Loyal Customer,53,Business travel,341,2,4,4,1,2,2,2,68,73,Dissatisfied
19742,Male,Loyal Customer,48,Business travel,341,0,0,0,5,1,1,5,0,0,Satisfied
19743,Female,Disloyal Customer,40,Business travel,341,2,2,2,2,2,3,2,0,0,Dissatisfied
19744,Female,Loyal Customer,46,Business travel,341,1,1,1,3,1,1,2,9,1,Dissatisfied
19750,Male,Disloyal Customer,34,Business travel,341,1,1,1,5,5,4,5,0,0,Dissatisfied
19752,Male,Loyal Customer,43,Business travel,341,5,5,5,3,5,5,4,0,1,Satisfied
19756,Male,Loyal Customer,59,Business travel,341,2,2,5,5,4,4,4,8,15,Satisfied
19763,Male,Loyal Customer,36,Business travel,341,1,5,3,4,4,4,4,0,0,Neutral
19765,Male,Loyal Customer,48,Personal Travel,341,2,4,2,2,5,5,4,174,0,Dissatisfied
19767,Female,Loyal Customer,34,Business travel,341,0,0,0,4,5,3,3,1,5,Satisfied
19770,Female,Loyal Customer,62,Personal Travel,341,2,5,2,3,4,4,4,0,0,Dissatisfied
19771,Male,Loyal Customer,52,Personal Travel,341,2,5,2,2,2,2,5,0,0,Dissatisfied
19772,Female,Loyal Customer,55,Business travel,341,2,1,1,3,2,2,3,8,10,Dissatisfied
19776,Female,Disloyal Customer,27,Business travel,341,4,4,4,2,2,4,2,0,0,Dissatisfied
19777,Male,Loyal Customer,42,Business travel,341,5,5,5,5,5,5,3,0,0,Satisfied
19782,Male,Loyal Customer,47,Business travel,341,0,0,0,4,5,5,4,2,0,Satisfied
19785,Female,Loyal Customer,36,Personal Travel,341,5,5,5,5,2,2,4,0,0,Satisfied
19789,Female,Loyal Customer,39,Business travel,341,3,3,3,5,5,5,3,5,7,Satisfied
19794,Male,Loyal Customer,19,Personal Travel,342,3,1,3,3,3,3,3,0,0,Dissatisfied
19796,Female,Loyal Customer,60,Business travel,342,3,3,2,3,5,5,5,5,2,Satisfied
19797,Female,Disloyal Customer,20,Business travel,342,0,0,0,4,5,5,4,6,0,Satisfied
19798,Male,Loyal Customer,39,Business travel,342,5,5,5,5,5,5,3,5,7,Satisfied
19799,Female,Loyal Customer,54,Business travel,342,3,3,3,5,4,4,4,0,0,Satisfied
19801,Female,Loyal Customer,55,Business travel,342,5,5,5,2,5,5,4,0,0,Satisfied
19805,Female,Loyal Customer,44,Business travel,342,2,2,2,4,4,4,3,0,0,Satisfied
19808,Female,Loyal Customer,54,Business travel,342,1,1,1,2,4,4,5,0,0,Satisfied
19810,Female,Loyal Customer,33,Business travel,342,1,4,1,1,5,5,3,4,0,Satisfied
19813,Male,Loyal Customer,55,Personal Travel,342,5,1,2,2,4,4,3,138,127,Satisfied
19818,Female,Disloyal Customer,22,Business travel,342,2,1,2,3,3,3,3,49,45,Dissatisfied
19821,Female,Loyal Customer,38,Business travel,342,5,5,5,4,4,4,5,13,4,Satisfied
19824,Female,Loyal Customer,55,Business travel,342,2,2,2,5,5,5,5,36,18,Satisfied
19826,Female,Disloyal Customer,33,Business travel,342,2,2,2,5,5,5,5,0,0,Dissatisfied
19827,Female,Disloyal Customer,26,Business travel,342,3,5,2,5,5,4,5,0,0,Dissatisfied
19828,Male,Disloyal Customer,35,Business travel,342,3,3,3,4,4,4,4,0,0,Neutral
19831,Female,Disloyal Customer,40,Business travel,342,1,1,1,4,4,3,4,0,0,Dissatisfied
19834,Female,Loyal Customer,47,Business travel,342,2,2,2,5,5,5,5,51,50,Satisfied
